COUNTER,threads,total_misses,iterations,TOTAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
PAPI_L3_TCM,1,122.897714,401,108774180,108774180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPI_L3_TCM,2,61.442233,401,110015562,54659122,55356440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPI_L3_TCM,3,41.626827,401,117724108,38250235,38681614,40792259,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPI_L3_TCM,4,30.848841,401,118106648,29276893,29784898,29269425,29775432,0,0,0,0,0,0,0,0,0,0,0,0
PAPI_L3_TCM,5,25.213785,401,136536736,26056447,26389876,31018802,26937243,26134368,0,0,0,0,0,0,0,0,0,0,0
PAPI_L3_TCM,6,21.12136,401,140471054,23784041,23052801,24369995,23287213,24557582,21419422,0,0,0,0,0,0,0,0,0,0
PAPI_L3_TCM,7,19.162407,401,238462331,35323107,38410963,30170005,32517899,31637320,33773444,36629593,0,0,0,0,0,0,0,0,0
PAPI_L3_TCM,8,16.820075,401,292602547,32992482,35886715,32990928,34512743,39712346,39782946,35262673,41461714,0,0,0,0,0,0,0,0
PAPI_L3_TCM,9,17.355723,401,487220759,40692357,68290445,47140268,53213313,64456592,61629589,55213988,54375144,42209063,0,0,0,0,0,0,0
PAPI_L3_TCM,10,16.484529,401,704681866,63229786,66703855,73512220,72537563,65774389,77283686,72357790,62774598,73570317,76937662,0,0,0,0,0,0
PAPI_L3_TCM,11,21.559896,401,938894273,70707675,99300472,67771614,105807125,54351525,107363081,67983891,101799902,103733810,74758122,85317056,0,0,0,0,0
PAPI_L3_TCM,12,21.33076,401,1176756501,112138228,94181662,114814674,109561851,112490955,91741821,92714204,99728500,91935495,90711752,113825812,52911547,0,0,0,0
PAPI_L3_TCM,13,26.122941,401,1361684964,109262819,115445480,112382445,108845281,110434369,111345662,108901810,110563592,108893528,109009021,99372580,113593190,43635187,0,0,0
PAPI_L3_TCM,14,27.063437,401,1555141976,122517307,113841798,121008272,114602791,120371895,108168510,120337580,111309795,116977649,109473969,113087721,115260530,122226670,45957489,0,0
PAPI_L3_TCM,15,32.900174,401,1716298873,118336286,118945860,119296563,121632817,117593828,121299870,117496669,113031010,103300706,118334654,117941667,119376877,118601267,120142662,70968137,0
PAPI_L3_TCM,16,35.346023,401,1830456786,117500983,117162203,115507846,112459389,113982176,117022477,116587755,115016363,109232684,112815798,113368312,106531187,112390423,117661449,117226717,115991024
